alpha,beta,gamma,mean_latency,average_hop_count,link_churn
0.3745401188473625,0.9507143064099162,0.7319939418114051,0.06930320225365144,5.883242538980421,372037
0.5986584841970366,0.15601864044243652,0.15599452033620265,0.07446993109152827,5.884557640245578,359439
0.05808361216819946,0.8661761457749352,0.6011150117432088,0.06799125776281015,5.90307048449238,376114
0.7080725777960455,0.020584494295802447,0.9699098521619943,0.07574488756212536,5.88599745537997,360772
0.8324426408004217,0.21233911067827616,0.18182496720710062,0.07422042434938161,5.882430925951063,359482
0.18340450985343382,0.3042422429595377,0.5247564316322378,0.0700540525680868,5.8714126501805275,366574
0.43194501864211576,0.2912291401980419,0.6118528947223795,0.07447041757288664,5.884803269121752,360997
0.13949386065204183,0.29214464853521815,0.3663618432936917,0.06950820173830473,5.876205316461444,369160
0.45606998421703593,0.7851759613930136,0.19967378215835974,0.06345850681358314,5.866435939831581,361093
0.5142344384136116,0.5924145688620425,0.046450412719997725,0.059638279552594736,5.877490428334079,352984
0.6075448519014384,0.17052412368729153,0.06505159298527952,0.07113320912650306,5.8796308092673115,355394
0.9488855372533332,0.9656320330745594,0.8083973481164611,0.07269824186203483,5.8811368728537765,362161
0.3046137691733707,0.09767211400638387,0.6842330265121569,0.07520011756135121,5.886967045487362,361346
0.4401524937396013,0.12203823484477883,0.4951769101112702,0.07538952916858968,5.8859757431833195,360833
0.034388521115218396,0.9093204020787821,0.2587799816000169,0.06362303998690733,5.895896533816129,374415
0.662522284353982,0.31171107608941095,0.5200680211778108,0.07488341739548568,5.887868734792005,360601
0.5467102793432796,0.18485445552552704,0.9695846277645586,0.07514626384158422,5.887681478677803,361087
0.7751328233611146,0.9394989415641891,0.8948273504276488,0.07175733375454697,5.879211745340949,363526
0.5978999788110851,0.9218742350231168,0.0884925020519195,0.05837633072124036,5.866959982074314,357159
0.1959828624191452,0.045227288910538066,0.32533033076326434,0.07526158155048823,5.885801736759536,361210
0.388677289689482,0.2713490317738959,0.8287375091519293,0.0745446530566742,5.885208604639274,361125
0.3567533266935893,0.28093450968738076,0.5426960831582485,0.0742906816451496,5.884074397166109,360654
0.14092422497476265,0.8021969807540397,0.07455064367977082,0.05892370571621902,5.912804636712173,373416
0.9868869366005173,0.7722447692966574,0.1987156815341724,0.06711706244586799,5.883195362052424,354938
0.005522117123602399,0.8154614284548342,0.7068573438476171,0.06748822103641522,5.899881910975979,376022
0.7290071680409873,0.7712703466859457,0.07404465173409036,0.06049256660356113,5.880283302471438,352233
0.3584657285442726,0.11586905952512971,0.8631034258755935,0.07508880158883698,5.886398914822559,360689
0.6232981268275579,0.3308980248526492,0.06355835028602363,0.06495209150008889,5.883475597637481,352852
0.3109823217156622,0.32518332202674705,0.7296061783380641,0.07294763356056838,5.879628122267154,362239
0.6375574713552131,0.8872127425763265,0.4722149251619493,0.07042353751719532,5.873743483831593,363810
0.1195942459383017,0.713244787222995,0.7607850486168974,0.06917888550813922,5.906042075025062,376571
0.5612771975694962,0.770967179954561,0.49379559636439074,0.07061474026724987,5.873178333575012,363537
0.5227328293819941,0.42754101835854963,0.02541912674409519,0.06099250988975753,5.889769262355141,349585
0.10789142699330445,0.03142918568673425,0.6364104112637804,0.07507021579652862,5.884557995423762,361136
0.3143559810763267,0.5085706911647028,0.907566473926093,0.06999483746072363,5.869312110973724,365780
0.24929222914887494,0.41038292303562973,0.7555511385430487,0.07003392780636686,5.870311103657518,366423
0.22879816549162246,0.07697990982879299,0.289751452913768,0.07529300082199401,5.885822136341165,361036
0.16122128725400442,0.9296976523425731,0.808120379564417,0.06907668681080328,5.90267399754433,376778
0.6334037565104235,0.8714605901877177,0.8036720768991145,0.07073525980530636,5.873475525057588,364494
0.18657005888603584,0.8925589984899778,0.5393422419156507,0.06954795753654135,5.903687212797905,376535
0.8074401551640625,0.8960912999234932,0.3180034749718639,0.06956162905635258,5.8760312482675445,359102
0.11005192452767676,0.22793516254194168,0.4271077886262563,0.06943428228109272,5.874514930841403,368795
0.8180147659224931,0.8607305832563434,0.006952130531190703,0.05928020123789876,5.8825803169826285,348892
0.5107473025775657,0.417411003148779,0.22210781047073025,0.0730974484432784,5.8831455598943885,359966
0.1198653673336828,0.33761517140362796,0.9429097039125192,0.06944234932130122,5.887269101366772,373938
0.32320293202075523,0.5187906217433661,0.7030189588951778,0.07006724298980312,5.86957752173034,365833
0.363629602379294,0.9717820827209607,0.9624472949421112,0.06930894418103303,5.883748359038195,373123
0.25178229582536416,0.49724850589238545,0.30087830981676966,0.06916681175203307,5.872523678416733,367542
0.2848404943774676,0.036886947354532795,0.6095643339798968,0.07535669391313245,5.886627526031085,360851
0.5026790232288615,0.05147875124998935,0.27864646423661144,0.07525054607446328,5.8856235299676944,360604
