alpha,beta,gamma,mean_latency,average_hop_count,link_churn
0.3745401188473625,0.9507143064099162,0.7319939418114051,0.049496292909780894,7.804587243444386,60010
0.5986584841970366,0.15601864044243652,0.15599452033620265,0.05429885873100366,7.271519661995853,33501
0.05808361216819946,0.8661761457749352,0.6011150117432088,0.04912750901646578,8.192181095800143,61765
0.7080725777960455,0.020584494295802447,0.9699098521619943,0.054602529406203866,7.1982526115859455,36002
0.8324426408004217,0.21233911067827616,0.18182496720710062,0.05425037562387509,7.286656976180786,33983
0.18340450985343382,0.3042422429595377,0.5247564316322378,0.04994047316362315,7.49126809698238,60055
0.43194501864211576,0.2912291401980419,0.6118528947223795,0.05135803086337685,7.019282826520923,38514
0.13949386065204183,0.29214464853521815,0.3663618432936917,0.04966835733189785,7.673085644514213,60730
0.45606998421703593,0.7851759613930136,0.19967378215835974,0.048106151571128235,7.963224218462312,54220
0.5142344384136116,0.5924145688620425,0.046450412719997725,0.04612871036868418,7.831767893482176,38163
0.6075448519014384,0.17052412368729153,0.06505159298527952,0.05437252263326168,7.728356144737097,27926
0.9488855372533332,0.9656320330745594,0.8083973481164611,0.049262524924861696,7.06677845611179,48055
0.3046137691733707,0.09767211400638387,0.6842330265121569,0.05467693528407465,7.190211678973582,40368
0.4401524937396013,0.12203823484477883,0.4951769101112702,0.0544522731890845,7.219067465162701,34901
0.034388521115218396,0.9093204020787821,0.2587799816000169,0.047646691370557964,8.59752822838537,60282
0.662522284353982,0.31171107608941095,0.5200680211778108,0.05399041836975201,7.217034478748764,35287
0.5467102793432796,0.18485445552552704,0.9695846277645586,0.05443281532617814,7.204866639533304,35812
0.7751328233611146,0.9394989415641891,0.8948273504276488,0.049561426747657754,7.202426032521274,50978
0.5978999788110851,0.9218742350231168,0.0884925020519195,0.046471079238460083,8.143085838323938,45054
0.1959828624191452,0.045227288910538066,0.32533033076326434,0.0545277889994505,7.198553249219916,35827
0.388677289689482,0.2713490317738959,0.8287375091519293,0.051201387973430594,6.992732910828152,42050
0.3567533266935893,0.28093450968738076,0.5426960831582485,0.050069733408396405,6.951690214547353,41828
0.14092422497476265,0.8021969807540397,0.07455064367977082,0.04646436214820943,9.070773572106903,53270
0.9868869366005173,0.7722447692966574,0.1987156815341724,0.04832442128827553,7.2985663507568255,36113
0.005522117123602399,0.8154614284548342,0.7068573438476171,0.049026455055785796,8.209024710738996,62785
0.7290071680409873,0.7712703466859457,0.07404465173409036,0.04620482636432918,7.7481586913967835,37582
0.3584657285442726,0.11586905952512971,0.8631034258755935,0.05484846722376447,7.21080279861232,39079
0.6232981268275579,0.3308980248526492,0.06355835028602363,0.051221525516004736,7.7678195243909505,25900
0.3109823217156622,0.32518332202674705,0.7296061783380641,0.04956626639470591,7.085530244006434,51446
0.6375574713552131,0.8872127425763265,0.4722149251619493,0.049565143667858795,7.308356997499853,54151
0.1195942459383017,0.713244787222995,0.7607850486168974,0.04942394188160433,8.100379014283778,61335
0.5612771975694962,0.770967179954561,0.49379559636439074,0.04958373592645142,7.310722406341453,54231
0.5227328293819941,0.42754101835854963,0.02541912674409519,0.04652098078339202,7.5789009438533235,31191
0.10789142699330445,0.03142918568673425,0.6364104112637804,0.054772228217602595,7.188494369827704,40078
0.3143559810763267,0.5085706911647028,0.907566473926093,0.0499985688768177,7.478010582010582,59611
0.24929222914887494,0.41038292303562973,0.7555511385430487,0.04998003081362091,7.483658042134233,59352
0.22879816549162246,0.07697990982879299,0.289751452913768,0.05447672795757668,7.2225845688702845,35974
0.16122128725400442,0.9296976523425731,0.808120379564417,0.04941984019790187,8.091720681434966,61453
0.6334037565104235,0.8714605901877177,0.8036720768991145,0.049666822298256155,7.320378161521024,54957
0.18657005888603584,0.8925589984899778,0.5393422419156507,0.04944508932061433,8.058609143942475,60377
0.8074401551640625,0.8960912999234932,0.3180034749718639,0.04848747861127102,7.26581607457798,46481
0.11005192452767676,0.22793516254194168,0.4271077886262563,0.04970996078946893,7.641607070178498,61716
0.8180147659224931,0.8607305832563434,0.006952130531190703,0.04565040648510067,7.7971531678198325,34886
0.5107473025775657,0.417411003148779,0.22210781047073025,0.04966371313837723,6.980358703025374,41630
0.1198653673336828,0.33761517140362796,0.9429097039125192,0.04946498184189318,7.82499804252185,61042
0.32320293202075523,0.5187906217433661,0.7030189588951778,0.04987131993905842,7.463072969358681,58589
0.363629602379294,0.9717820827209607,0.9624472949421112,0.0494964045975031,7.810529759482137,60245
0.25178229582536416,0.49724850589238545,0.30087830981676966,0.04956912517213192,7.65845781731496,59721
0.2848404943774676,0.036886947354532795,0.6095643339798968,0.05494279634613086,7.1847688819117375,40638
0.5026790232288615,0.05147875124998935,0.27864646423661144,0.05448457493813451,7.221428377618854,35242
