alpha,beta,gamma,max_latency,mean_latency,average_hop_count
0.3745401188473625,0.9507143064099162,0.7319939418114051,8087125116.19649,4311979403.876338,21504
0.5986584841970366,0.15601864044243652,0.15599452033620265,7971882552.209666,4253853858.9209905,20586
0.05808361216819946,0.8661761457749352,0.6011150117432088,8191668986.047297,4202292097.7440352,17585
0.7080725777960455,0.020584494295802447,0.9699098521619943,8102593652.392855,4385802773.468863,18519
0.8324426408004217,0.21233911067827616,0.18182496720710062,7899139567.306303,4318208680.9214945,19540
0.18340450985343382,0.3042422429595377,0.5247564316322378,8179515303.867069,4371950094.453351,20880
0.43194501864211576,0.2912291401980419,0.6118528947223795,8146605173.90706,4208586779.81688,18026
0.13949386065204183,0.29214464853521815,0.3663618432936917,8175865286.310641,4360759475.694942,20755
0.45606998421703593,0.7851759613930136,0.19967378215835974,7925259722.02196,4302492679.232235,19384
0.5142344384136116,0.5924145688620425,0.046450412719997725,7599189460.358308,4108439108.5552745,21973
