alpha,beta,gamma,mean_latency,average_hop_count,link_churn
0.3745401188473625,0.9507143064099162,0.7319939418114051,0.04949077064223275,7.800624997577379,59956
0.5986584841970366,0.15601864044243652,0.15599452033620265,0.05431811919013354,7.279080566699613,33550
0.05808361216819946,0.8661761457749352,0.6011150117432088,0.049175608168986376,8.189582029962983,61709
0.7080725777960455,0.020584494295802447,0.9699098521619943,0.05460140323955721,7.189678624726242,35890
0.8324426408004217,0.21233911067827616,0.18182496720710062,0.05427599412852227,7.287206620539955,33879
0.18340450985343382,0.3042422429595377,0.5247564316322378,0.049977513553858106,7.502781634591157,59875
0.07379597879796315,0.8207749419988746,0.5304998266764442,0.04917352820446833,8.185256972304591,61604
0.13136605061427717,0.8548873307506084,0.604491421977605,0.04945385141051275,8.130385254956682,61292
0.6505228989249303,0.03936939521308605,0.9398779176660541,0.05455661732760014,7.190070120355834,35838
0.6470303952974944,0.03102767404604022,0.8719263459680056,0.0545360184312563,7.184209779638355,35498
0.5322491817521151,0.1658617022358927,0.19291784933597317,0.05434164621630825,7.264816481578386,34521
0.6072268982565351,0.1502362263230245,0.1409393355567382,0.054268383476866175,7.278285171618503,33420
0.12665209010890893,0.8379558564772976,0.44234781890830754,0.04936035877001204,8.126827528732294,61068
0.0900001772677029,0.8015208279780588,0.4966537266611463,0.049279319658743756,8.15213442642014,61450
0.6776142097395378,0.08257765017083776,0.9184903519238155,0.05454305413122096,7.193709246661628,35111
0.6050695191363624,0.015567055253479489,0.8884895175381837,0.05450442541652509,7.185048898191755,35060
0.656004154612653,0.12627751443076,0.13165638672354735,0.05422313838145545,7.267644397930112,34106
0.5519101495562336,0.09042589511899096,0.1815656266764481,0.05445268023255017,7.2600549644359145,35316
0.15781217869624403,0.797920321899042,0.5468303715557475,0.049411091165160376,8.072850281993137,60871
0.10808197852008461,0.7692648402478026,0.514723506936567,0.04936459654058132,8.13810074229122,61220
0.6819713474596609,0.013775753297981912,0.966721700328884,0.05453167605713701,7.17933476752524,35166
0.4740822639318752,0.056662180472240684,0.8928418709500923,0.05467212028358045,7.176573676764154,37501
0.6410537870893597,0.1308655532575351,0.0322779409935027,0.054063960584216045,8.275861154718298,24987
0.6450205602207775,0.1441331430063473,0.20555108896062316,0.05430440851379521,7.266856755237709,34326
0.08216846760640224,0.7288401601031432,0.48963565475734017,0.04929598699734331,8.148859042192376,61620
0.15385208440518833,0.7857023957307868,0.48823549674821504,0.04942127601655917,8.069701571796811,60664
0.499745635587543,0.0615160579396427,0.9412741204767368,0.05463344504240575,7.188662441614823,37148
0.43897960923800755,0.04027907314235227,0.8732364632934844,0.05469177143298613,7.1851302982731555,38310
0.5678780396827537,0.1456715671107639,0.04533070460249717,0.05433036727595012,8.076155590441305,26182
0.6329895015060593,0.15106809609826202,0.12658723605402922,0.05418860718463931,7.285355970308352,33313
0.09089735824799419,0.7417176796392815,0.4859133589690318,0.0492979629542336,8.146470531232431,61350
0.20533057323066656,0.7192221118640871,0.5047130218740208,0.04951130556201023,7.959062891253367,59982
0.4765762608723463,0.07983067049450462,0.8277670905537474,0.05455520176087281,7.192915557106031,35539
0.4439621774923896,0.015105290436542306,0.7957032917401777,0.05457511479514021,7.183086923658348,36645
0.5713061884230551,0.09255638142445866,0.06901032613425626,0.054399472751731494,7.37901195805958,31717
0.5219068279710636,0.22316828736164088,0.006168039985685311,0.052394374792793325,8.697158672015814,14743
0.07479428243771041,0.782393540507765,0.42437014314733407,0.04926469388030317,8.169396515301274,61564
0.10227035497820067,0.8070748173534029,0.40553919724097043,0.049248086460366235,8.144861445432873,61000
0.4531938704190048,0.028099430148963482,0.8347944353290433,0.054574182819858125,7.1931192898811975,36037
0.4588114111540489,0.027629932953836134,0.8130257022150266,0.054576343124411356,7.18373688392736,36829
0.48790559189213906,0.23478097221969105,0.020821663650619375,0.052340545527178976,8.441865534817916,19870
0.4861892570697452,0.31645701291887873,0.029859686031274688,0.04896389265528291,7.756816249006726,25843
0.5343580635319612,0.33709605926570363,0.0709626940309992,0.04982159295225295,7.511130647130648,29032
0.44171353558846904,0.27566649867060683,0.026004600560569475,0.0493746809289259,7.811202821869489,24481
0.47586900989488107,0.04146447292033709,0.8543848646668277,0.05474115969906151,7.191471442138106,37415
0.45946150574794425,0.10030663681170197,0.7997928605531288,0.05455928025486165,7.206674806674803,36043
0.43436096698908344,0.2589045929818503,0.00964852438432683,0.04954119788905431,7.957175649747079,20141
0.5236056165967437,0.2584428534483683,0.017180218017775736,0.05183131862644739,8.407926507355079,19258
0.3993738496850488,0.1999241374363136,0.003678852957218419,0.051210835188084995,8.382848150086248,17046
0.4596029036058832,0.30370572498901854,0.08015716271933332,0.04999591812228974,7.389415973796926,31764
0.5016207732553141,0.06715377046594753,0.8801372489821301,0.054594021166474604,7.199953950811093,36620
0.6685055844276171,0.07000899845499543,0.9111631466758576,0.05458518086903518,7.197254724111866,35978
0.5713057047714037,0.29101241601365824,0.0014167557857584535,0.05096226772835976,8.293953834525265,17514
0.561554077621407,0.21980159272148972,0.005339287680775292,0.05244582732606484,8.724820900439948,14421
0.43533472621442804,0.30779943195833465,0.19589009105300875,0.05089786223756444,7.025193402717215,38119
0.4360063103164115,0.35815325483738686,0.08337116367410646,0.047873823941240005,7.324659495707118,36786
0.6146183455311518,0.03424381299199702,0.9451430341225914,0.05457170486222899,7.179302207492681,35986
0.6319872528417603,0.08083192793409417,0.9134417386710483,0.05465011812505685,7.197795065604589,35063
0.5289740602411162,0.32699879718775604,0.03703523879667585,0.049349613211753775,7.760576622671861,24472
0.6074471749741458,0.3259094025721214,0.05696255070833264,0.05114132522570065,7.826611469659087,25013
